time,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T,H
19.8,3120.625,837.625,1412,3371,2769.25,3083.25,268.875,3840.375,3689.75,3794.125,36,45.3
19.9,3128.25,838.875,1412,3370.375,2766.75,3081.625,269,3840,3690.875,3794,36,45.27
20.0,3135.625,840.25,1412.125,3369.625,2764.25,3080,268.875,3839.75,3691.875,3793.625,36.03,45.32
20.1,3142.75,841.5,1412.125,3368.75,2761.5,3078.25,269,3839.375,3692.75,3793.25,36.02,45.31
20.2,3149.75,842.75,1412.25,3367.75,2758.625,3076.5,269,3839,3693.625,3792.75,36,45.31
20.3,3156.5,844,1412.25,3366.75,2755.5,3074.625,269.25,3838.5,3694.5,3792,36.02,45.37
20.4,3162.875,845.125,1412.25,3365.75,2752.5,3072.75,269.25,3838.125,3695,3791.5,35.99,45.3
20.5,3169.125,846.5,1412.375,3364.5,2749.25,3070.75,269.375,3837.5,3695.75,3790.875,36.02,45.33
20.6,3175.125,847.75,1412.375,3363.25,2746,3068.625,269.375,3836.875,3696.25,3790.125,36.02,45.38
20.7,3180.875,848.875,1412.375,3362,2742.625,3066.75,269.375,3836.375,3696.625,3789.25,36.02,45.37
20.8,3186.5,850.125,1412.375,3360.5,2739.25,3064.625,269.375,3835.625,3697.125,3788.375,35.97,45.35
20.9,3192,851.375,1412.5,3359.125,2735.625,3062.5,269.375,3835,3697.375,3787.5,36,45.39
21.0,3197.125,852.5,1412.5,3357.625,2732,3060.375,269.5,3834.125,3697.625,3786.625,36,45.35
21.1,3202.125,853.75,1412.5,3356.125,2728.375,3058.125,269.75,3833.375,3697.875,3785.5,36,45.38
21.2,3207,854.875,1412.625,3354.5,2724.625,3055.875,269.625,3832.625,3697.875,3784.5,36,45.38
21.3,3211.625,856,1412.625,3352.875,2720.875,3053.625,269.75,3831.625,3698,3783.25,35.99,45.42
21.4,3216,857.25,1412.625,3351.125,2716.875,3051.125,269.75,3830.75,3697.875,3782.125,36,45.39
21.5,3220.375,858.25,1412.75,3349.25,2712.875,3048.75,269.75,3829.75,3697.75,3780.875,36.02,45.41
21.6,3224.5,859.375,1412.75,3347.5,2708.875,3046.375,269.625,3828.875,3697.625,3779.5,35.99,45.39
21.7,3228.375,860.5,1412.75,3345.625,2704.75,3043.875,270,3827.875,3697.5,3778.25,36.02,45.34
21.8,3232.25,861.75,1412.75,3343.625,2700.625,3041.375,270,3826.875,3697.25,3777,36,45.37
21.9,3235.75,862.875,1412.75,3341.625,2696.5,3038.75,269.875,3825.875,3696.875,3775.625,36.03,45.41
22.0,3239.25,864,1412.875,3339.625,2692.25,3036.25,270,3824.75,3696.5,3774.25,36,45.39
22.1,3242.5,865,1412.875,3337.5,2688,3033.625,269.875,3823.75,3696.125,3772.75,36,45.37
22.2,3245.75,866.125,1412.875,3335.375,2683.625,3031.125,270,3822.625,3695.625,3771.25,36,45.41
22.3,3248.75,867.125,1412.875,3333.25,2679.25,3028.5,270.25,3821.5,3695.125,3769.75,36,45.37
22.4,3251.625,868.25,1413,3331,2674.75,3025.75,270.125,3820.25,3694.625,3768.125,36,45.39
22.5,3254.375,869.25,1413,3328.875,2670.5,3023.125,270,3819.125,3694,3766.5,35.97,45.38
22.6,3257,870.25,1413,3326.5,2666,3020.375,270.125,3817.875,3693.375,3764.875,36,45.41
22.7,3259.5,871.375,1413.125,3324.125,2661.5,3017.625,270.125,3816.625,3692.75,3763.25,35.97,45.39
22.8,3261.875,872.375,1413.125,3321.75,2657,3014.875,270.125,3815.25,3692.125,3761.5,35.99,45.34
22.9,3264.125,873.5,1413.125,3319.25,2652.5,3012.25,270.125,3814,3691.375,3759.75,36,45.35
23.0,3266.25,874.375,1413.125,3316.875,2647.875,3009.5,270.25,3812.75,3690.625,3757.875,36,45.37
23.1,3268.25,875.375,1413.125,3314.375,2643.125,3006.75,270.25,3811.375,3689.875,3756,35.99,45.38
23.2,3270.125,876.375,1413.125,3311.875,2638.375,3004,270.125,3810,3689,3754,35.99,45.35
23.3,3271.875,877.25,1413.25,3309.375,2633.625,3001.375,270.25,3808.5,3688.125,3752,36,45.38
23.4,3273.5,878.25,1413.25,3306.75,2628.75,2998.5,270.125,3807.125,3687.25,3750,36,45.37
23.5,3275.125,879.125,1413.25,3304.125,2623.75,2995.75,270.25,3805.75,3686.375,3747.875,35.99,45.37
23.6,3276.5,880.125,1413.25,3301.375,2619,2993,270.125,3804.25,3685.375,3745.75,35.99,45.33
23.7,3278,881.125,1413.375,3298.75,2614.125,2990.25,270.125,3802.625,3684.375,3743.625,36.02,45.33
23.8,3279.125,881.875,1413.375,3296,2609.25,2987.375,270.125,3801.125,3683.375,3741.625,36,45.31
23.9,3280.375,882.75,1413.375,3293.375,2604.375,2984.5,270.125,3799.625,3682.375,3739.5,36,45.31
24.0,3281.5,883.625,1413.375,3290.5,2599.375,2981.75,270.125,3798.125,3681.375,3737.25,36,45.35
24.1,3282.375,884.625,1413.375,3287.75,2594.5,2978.875,270.125,3796.5,3680.25,3735,36.02,45.33
24.2,3283.375,885.5,1413.5,3284.875,2589.625,2976.125,270,3795,3679.125,3732.625,36,45.3
